Study ID,Site ID,Location,Latitude,Longitude,Habitat,Taxa,Taxonimic Level,Taxon Richness,SE (if mean),SD (if mean),Taxon Rarefied Richness,Abundance,Sampled Area,Sampled Area Units,Number of samples,Habitat Area,Habitat Area Units,Habitat Age,NOTES,SR~AREA SLOPE,SR~AREA SE,Equation for slope_Area,SR~TIME SLOPE,SR~TIME SE,Equation for slope_Time
2015_Noble 2,Lister Park,Bradford,53.814028,-1.772767,ponds,Aquatic Plants,Species,0,,,,,3,Minutes (sweep netting),,756,m2,,SuppMatT27,,,,,,
2015_Noble 2,Toad Holes Beck Pond 1,Bradford,53.753311,-1.744836,ponds,Aquatic Plants,Species,2,,,,,3,Minutes (sweep netting),,330,m2,,SuppMatT28,,,,,,
2015_Noble 2,Toad Holes Beck Pond 2,Bradford,53.751833,-1.745627,ponds,Aquatic Plants,Species,2,,,,,3,Minutes (sweep netting),,238,m2,,SuppMatT29,,,,,,
2015_Noble 2,Peel Park,Bradford,53.809567,-1.744358,ponds,Aquatic Plants,Species,0,,,,,3,Minutes (sweep netting),,248,m2,,SuppMatT30,,,,,,
2015_Noble 2,Raw Nook,Bradford,53.753964,-1.748167,ponds,Aquatic Plants,Species,4,,,,,3,Minutes (sweep netting),,123,m2,,SuppMatT31,,,,,,
2015_Noble 2,Harold Park Jug Dam,Bradford,53.757936,-1.774022,ponds,Aquatic Plants,Species,1,,,,,3,Minutes (sweep netting),,225,m2,,SuppMatT32,,,,,,
2015_Noble 2,Wibsey Park,Bradford,53.766372,-1.785486,ponds,Aquatic Plants,Species,0,,,,,3,Minutes (sweep netting),,425,m2,,SuppMatT33,,,,,,
2015_Noble 2,Pitty Beck,Bradford,53.794222,-1.820231,ponds,Aquatic Plants,Species,2,,,,,3,Minutes (sweep netting),,39.1,m2,,SuppMatT34,,,,,,
2015_Noble 2,Pitty Beck Pond 2,Bradford,53.794196,-1.820504,ponds,Aquatic Plants,Species,0,,,,,3,Minutes (sweep netting),,19.2,m2,,SuppMatT35,,,,,,
2015_Noble 2,Chellow Dene Beck Pond 1,Bradford,53.799736,-1.798964,ponds,Aquatic Plants,Species,0,,,,,3,Minutes (sweep netting),,23,m2,,SuppMatT36,,,,,,
2015_Noble 2,Chellow Dene Beck Pond 2,Bradford,53.799621,-1.798812,ponds,Aquatic Plants,Species,2,,,,,3,Minutes (sweep netting),,34,m2,,SuppMatT37,,,,,,
2015_Noble 2,Bradford Moor Park,Bradford,53.801922,-1.721281,ponds,Aquatic Plants,Species,1,,,,,3,Minutes (sweep netting),,275,m2,,SuppMatT38,,,,,,
2015_Noble 2,St Ives Estate,Bradford,53.846208,-1.866143,ponds,Aquatic Plants,Species,1,,,,,3,Minutes (sweep netting),,651,m2,,SuppMatT39,,,,,,
2015_Noble 2,Holden Park,Bradford,53.849379,-1.947923,ponds,Aquatic Plants,Species,1,,,,,3,Minutes (sweep netting),,88.8,m2,,SuppMatT40,,,,,,
2015_Noble 2,Holden park (Farmers pond),Bradford,53.850894,-1.94791,ponds,Aquatic Plants,Species,2,,,,,3,Minutes (sweep netting),,293.4,m2,,SuppMatT41,,,,,,
2015_Noble 2,Tong Park,Bradford,53.858089,-1.751168,ponds,Aquatic Plants,Species,2,,,,,3,Minutes (sweep netting),,476,m2,,SuppMatT42,,,,,,
2015_Sirohi 1,ASC,Northampton,52d14m53sN,0d53m49sW,amenity grass/turf,Bees,Species,18,,,,206,,,15,1287,m2,,A churchyard with planted flowers at margin and a well maintained lawn which was mown frequently,,,,,,
2015_Sirohi 1,SGC,Northampton,52d14m53sN,0d53m49sW,amenity grass/turf,Bees,Species,29,,,,220,,,15,7556,m2,,"A churchyard with planted flowers at margin, the lawn was covered with a number of trees and was mown frequently",,,,,,
2015_Sirohi 1,HSC,Northampton,52d14m53sN,0d53m49sW,amenity grass/turf,Bees,Species,21,,,,175,,,15,8217,m2,,A churchyard with a few flowers planted at one side of the church. A number of trees were present at the sides and lawn was mown frequently,,,,,,
2015_Sirohi 1,NTC,Northampton,52d14m53sN,0d53m49sW,amenity grass/turf,Bees,Species,20,,,,131,,,15,5383,m2,,"A church yard with few wild flowers at the sides and walls, with number of trees and lawn was mown frequently",,,,,,
2015_Sirohi 1,SPC,Northampton,52d14m53sN,0d53m49sW,amenity grass/turf,Bees,Species,18,,,,123,,,15,1669,m2,,"A churchyard with a few planted flowers at the front, lawn was mown frequently",,,,,,
2015_Sirohi 1,CCG,Northampton,52d14m53sN,0d53m49sW,amenity grass/turf,Bees,Species,27,,,,310,,,15,330,m2,,A small garden with exotic flowers exposed to sunlight and had a very small lawn which was mown very frequently,,,,,,
2015_Sirohi 1,CHG,Northampton,52d14m53sN,0d53m49sW,amenity grass/turf,Bees,Species,14,,,,50,,,15,662,m2,,A small garden with exotic flowers surrounded by buildings and lawn was mown very frequently. The garden was shaded by the buildings,,,,,,
2015_Sirohi 1,CCP,Northampton,52d14m53sN,0d53m49sW,hard standing,Bees,Species,22,,,,146,,,15,6380,m2,,A car park where surface was not paved. It had a small vegetation patch of wild flowers which was not maintained at all mown regularly every 4â€“6 weeks,,,,,,
2015_Sirohi 1,IBS,Northampton,52d14m53sN,0d53m49sW,neutral grassland,Bees,Species,30,,,,410,,,15,2911,m2,,A round island surrounded by roads. It produced a wide range of wild flowers which were mown regularly every 4-6 weeks,,,,,,
2015_Sirohi 1,IKW,Northampton,52d14m53sN,0d53m49sW,short/perennial vegetation,Bees,Species,22,,,,264,,,15,90,m2,,"A small wild vegetation patch surrounded by the paved surfaces, buildings, roads and parking lots. Vegetation was cleared every year",,,,,,
2015_Sirohi 1,BSV,Northampton,52d14m53sN,0d53m49sW,short/perennial vegetation,Bees,Species,18,,,,72,,,15,517,m2,,"A road verge with wild flowers, where vegetation was cleared every year except a few shrub species",,,,,,
2015_Sirohi 1,MSV,Northampton,52d14m53sN,0d53m49sW,short/perennial vegetation,Bees,Species,25,,,,170,,,15,964,m2,,"A road verge with wild flowers, where vegetation was cleared every year except a few shrub species",,,,,,
2015_Sirohi 1,MNV,Northampton,52d14m53sN,0d53m49sW,short/perennial vegetation,Bees,Species,7,,,,17,,,15,754,m2,,"A road verge with wild flowers, where vegetation was cleared every year except a few shrub species",,,,,,
2015_Sirohi 1,LLV,Northampton,52d14m53sN,0d53m49sW,short/perennial vegetation,Bees,Species,29,,,,187,,,15,314,m2,,"A triangular wild vegetation patch, surrounded by roads on all sides. The vegetation was removed every year except a few shrub species",,,,,,
2015_Sirohi 1,MOV,Northampton,52d14m53sN,0d53m49sW,short/perennial vegetation,Bees,Species,24,,,,207,,,15,1303,m2,,Open wide vegetation patch with wild flowers and few trees surrounded by houses and road. Site was mown every 4â€“6 weeks,,,,,,
2015_Sirohi 1,VPV,Northampton,52d14m53sN,0d53m49sW,short/perennial vegetation,Bees,Species,13,,,,139,,,15,990,m2,,"A road verge with few trees, shrubs and a mix of wild and planted flowers in spring and summer",,,,,,
2015_Sirohi 1,PWV,Northampton,52d14m53sN,0d53m49sW,short/perennial vegetation,Bees,Species,18,,,,123,,,15,400,m2,,A road verge with wild flowers exposed to sun and was mown frequently 4â€“6 week time,,,,,,
2015_Sirohi 1,PRI,Northampton,52d14m53sN,0d53m49sW,short/perennial vegetation,Bees,Species,20,,,,163,,,15,711,m2,,A traffic roundabout island with wild flowers and few trees. The ground was mown frequently in 4â€“6 weeks,,,,,,
2015_Sirohi 1,BF,Northampton,52d14m53sN,0d53m49sW,broadleaved woodland,Bees,Species,26,,,,116,,,15,82124,m2,,A wild life park and local nature reserve,,,,,,
2015_Sirohi 1,BM,Northampton,52d14m53sN,0d53m49sW,broadleaved woodland,Bees,Species,18,,,,91,,,15,41856,m2,,"A local nature reserve, managed by grazing",,,,,,
2015_Sirohi 1,KM,Northampton,52d14m53sN,0d53m49sW,broadleaved woodland,Bees,Species,13,,,,58,,,15,96591,m2,,"Local nature reserve, managed by grazing",,,,,,
2015_Sirohi 1,WO,Northampton,52d14m53sN,0d53m49sW,orchard,Bees,Species,19,,,,68,,,15,20220,m2,,An orchard with apple trees at the fringes of town,,,,,,
2015_Sirohi 1,AM,Northampton,52d14m53sN,0d53m49sW,neutral grassland,Bees,Species,29,,,,102,,,15,21043,m2,,A small meadow inside the Northampton with a few trees,,,,,,
2015_Sirohi 1,CF,Northampton,52d14m53sN,0d53m49sW,orchard,Bees,Species,9,,,,49,,,15,8827,m2,,A small orchard and garden inside a small forest patch at the fringes of town,,,,,,
2015_Smith 1,Native,Reading,51d26m11.6sN,0d56m27.6sW,Unspecified grass/meadows,Inverts,Family,58,,,,,0.36,m2,36,,,,Table2; Note that it is FORB species in grassland,,,,,,
2015_Smith 1,Mixed,Reading,51d26m11.6sN,0d56m27.6sW,Unspecified grass/meadows,Inverts,Family,55,,,,,0.36,m2,36,,,,Table2; Note that it is FORB species in grassland,,,,,,
2015_Smith 1,Non-native,Reading,51d26m11.6sN,0d56m27.6sW,Unspecified grass/meadows,Inverts,Family,47,,,,,0.36,m2,36,,,,Table2; Note that it is FORB species in grassland,,,,,,
2015_Smith 1,turf,Reading,51d26m11.6sN,0d56m27.6sW,amenity grass/turf,Inverts,Family,54,,,,,0.36,m2,12,,,,Table2;,,,,,,
2014_Briars 1,Calais burn wetland,Fife,56.2,-3.14,ponds,Inverts,Species,36.607,,7.808,,,3,Minutes (pond net),2,18633,m2,,Table1&Figure1,,,,,,
2014_Briars 1,Pond 7,Fife,56.2,-3.14,ponds,Inverts,Species,19.55,,3.844,,,3,Minutes (pond net),2,4992,m2,,Table1&Figure1,,,,,,
2014_Briars 1,Linburn,Fife,56.2,-3.14,ponds,Inverts,Species,16.547,,3.604,,,3,Minutes (pond net),2,9848,m2,,Table1&Figure1,,,,,,
2014_Briars 1,Halbeath,Fife,56.2,-3.14,ponds,Inverts,Species,10.901,,1.442,,,3,Minutes (pond net),2,6489,m2,,Table1&Figure1,,,,,,
2008_Butt 1,Sandwalk woodland,Down House,51.33,0.05,broadleaved woodland,Earthworms,Species,7,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,Great Pucklands Meadow,Down House,51.33,0.05,neutral grassland,Earthworms,Species,6,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,Kitchen Garden,Down House,51.33,0.05,amenity grass/turf,Earthworms,Species,4,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,Great House Meadow,Down House,51.33,0.05,neutral grassland,Earthworms,Species,6,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,Middle Field,Down House,51.33,0.05,amenity grass/turf,Earthworms,Species,9,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,High Elms grassland,Down House,51.33,0.05,chalk grassland,Earthworms,Species,4,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,Cuckoo wood (oak),Down House,51.33,0.05,broadleaved woodland,Earthworms,Species,7,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,Cuckoo Wood (beech),Down House,51.33,0.05,broadleaved woodland,Earthworms,Species,1,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,Cuckoo Wood (larch),Down House,51.33,0.05,broadleaved woodland,Earthworms,Species,2,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,Ravensbourne (dry),Down House,51.33,0.05,neutral grassland,Earthworms,Species,3,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,Ravensbourne (wet),Down House,51.33,0.05,acid grassland (heath),Earthworms,Species,5,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,Keston Bog,Down House,51.33,0.05,Not present in NHM,Earthworms,Species,2,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,Calunna heath,Down House,51.33,0.05,acid grassland (heath),Earthworms,Species,0,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 1,Gorse heath,Down House,51.33,0.05,acid grassland (heath),Earthworms,Species,1,,,,,0.1,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 2,Great House Meadow,Down House,51.33,0.05,neutral grassland,Earthworms,Species,8,,,,,0.2,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 2,Down House Orchard,Down House,51.33,0.05,broadleaved woodland,Earthworms,Species,7,,,,,0.2,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 2,Grass below Ash,Down House,51.33,0.05,Unspecified grass/meadows,Earthworms,Species,7,,,,,0.2,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 2,Grass below Pine,Down House,51.33,0.05,Unspecified grass/meadows,Earthworms,Species,4,,,,,0.2,m2,5,,,,Text&OnlineInfo,,,,,,
2008_Butt 2,Grass below Yew,Down House,51.33,0.05,Unspecified grass/meadows,Earthworms,Species,4,,,,,0.2,m2,5,,,,Text&OnlineInfo,,,,,,
2006_SmithA 1,Onslow Square 1 J,London,51d29m32sN,0d10m18sW,introduced shrubs,Inverts,Species,9,,,,,36,m2,1,0.111,ha,,Appendix,,,,,,
2006_SmithA 1,Onslow Square 1 J,London,51d29m32sN,0d10m18sW,amenity grass/turf,Inverts,Species,7.5,,,,,36,m2,1,0.111,ha,,Appendix,,,,,,
2006_SmithA 1,Evelyn Gardens 1 J,London,51d29m20sN,0d10m46sW,introduced shrubs,Inverts,Species,8,,,,,36,m2,1,0.387,ha,,Appendix,,,,,,
2006_SmithA 1,Evelyn Gardens 1 J,London,51d29m20sN,0d10m46sW,amenity grass/turf,Inverts,Species,6,,,,,36,m2,1,0.387,ha,,Appendix,,,,,,
2006_SmithA 1,Onslow Gardens 1 J,London,51d29m28sN,0d10m35sW,introduced shrubs,Inverts,Species,11,,,,,36,m2,1,0.673,ha,,Appendix,,,,,,
2006_SmithA 1,Onslow Gardens 1 J,London,51d29m28sN,0d10m35sW,amenity grass/turf,Inverts,Species,6,,,,,36,m2,1,0.673,ha,,Appendix,,,,,,
2006_SmithA 1,Evelyn Gardens 2 J,London,51d29m18sN,0d10m40sW,introduced shrubs,Inverts,Species,5,,,,,36,m2,1,0.806,ha,,Appendix,,,,,,
2006_SmithA 1,Evelyn Gardens 2 J,London,51d29m18sN,0d10m40sW,amenity grass/turf,Inverts,Species,6.5,,,,,36,m2,1,0.806,ha,,Appendix,,,,,,
2006_SmithA 1,Lennox Gardens J,London,51d29m45sN,0d09m48sW,introduced shrubs,Inverts,Species,16.5,,,,,36,m2,1,1.079,ha,,Appendix,,,,,,
2006_SmithA 1,Lennox Gardens J,London,51d29m45sN,0d09m48sW,amenity grass/turf,Inverts,Species,3,,,,,36,m2,1,1.079,ha,,Appendix,,,,,,
2006_SmithA 1,Onslow Gardens 2 J,London,51d29m30sN,0d10m33sW,introduced shrubs,Inverts,Species,9.5,,,,,36,m2,1,1.667,ha,,Appendix,,,,,,
2006_SmithA 1,Onslow Gardens 2 J,London,51d29m30sN,0d10m33sW,amenity grass/turf,Inverts,Species,8,,,,,36,m2,1,1.667,ha,,Appendix,,,,,,
2006_SmithA 1,Onslow Square 2 J,London,51d29m33sN,0d10m25sW,introduced shrubs,Inverts,Species,11.5,,,,,36,m2,1,2.528,ha,,Appendix,,,,,,
2006_SmithA 1,Onslow Square 2 J,London,51d29m33sN,0d10m25sW,amenity grass/turf,Inverts,Species,5.5,,,,,36,m2,1,2.528,ha,,Appendix,,,,,,
2006_SmithA 1,Princes Gardens J,London,51d29m57sN,0d10m20sW,introduced shrubs,Inverts,Species,5.5,,,,,36,m2,1,4.98,ha,,Appendix,,,,,,
2006_SmithA 1,Princes Gardens J,London,51d29m57sN,0d10m20sW,amenity grass/turf,Inverts,Species,1,,,,,36,m2,1,4.98,ha,,Appendix,,,,,,
2006_SmithA 1,Holland Park J,London,51d30m10sN,0d12m15sW,introduced shrubs,Inverts,Species,13.5,,,,,36,m2,1,54.781,ha,,Appendix,,,,,,
2006_SmithA 1,Holland Park J,London,51d30m10sN,0d12m15sW,amenity grass/turf,Inverts,Species,3.5,,,,,36,m2,1,54.781,ha,,Appendix,,,,,,
2006_SmithA 1,Green Park J,London,51d30m15sN,0d08m40sW,introduced shrubs,Inverts,Species,7.5,,,,,36,m2,1,119.522,ha,,Appendix,,,,,,
2006_SmithA 1,Green Park J,London,51d30m15sN,0d08m40sW,amenity grass/turf,Inverts,Species,3,,,,,36,m2,1,119.522,ha,,Appendix,,,,,,
2006_SmithA 1,Kensington Gardens J,London,51d30m20sN,0d10m50sW,introduced shrubs,Inverts,Species,9.5,,,,,36,m2,1,625,ha,,Appendix,,,,,,
2006_SmithA 1,Kensington Gardens J,London,51d30m20sN,0d10m50sW,amenity grass/turf,Inverts,Species,4,,,,,36,m2,1,625,ha,,Appendix,,,,,,
2006_SmithC,,Sheffield,53d23m00sN,1d28m00sW,Unsure/Not Clear,Vascular Plants,,,,,,,,,,,,,Text,y = 0.321x + 1.309,,Semi-log Power Equation,,,
2006_SmithC,,Sheffield,53d23m00sN,1d28m00sW,Unsure/Not Clear,Vascular Plants,,,,,,,,,,,,,Text,y = -1.0521x + 3.0638,,Sampled Area; Semi-log Power Equation,,,
2004_Helden 1,Baldocks roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,0,,,,0,0.2,m2,4,401,m2,,Table1,,,,,,
2004_Helden 1,Running horse roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,2,,,,9,0.2,m2,4,1581,m2,,Table1,,,,,,
2004_Helden 1,Eastern road roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,2,,,,3,0.2,m2,4,1397,m2,,Table1,,,,,,
2004_Helden 1,Meteorological office roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,13,,,,76,0.2,m2,4,5667,m2,,Table1,,,,,,
2004_Helden 1,Bracknell station roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,12,,,,53,0.2,m2,4,2277,m2,,Table1,,,,,,
2004_Helden 1,Broad lane roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,20,,,,53,0.2,m2,4,4132,m2,,Table1,,,,,,
2004_Helden 1,Bill hill,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,27,,,,248,0.2,m2,4,13029,m2,,Table1,,,,,,
2004_Helden 1,Bracknell sports centre roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,12,,,,56,0.2,m2,4,2115,m2,,Table1,,,,,,
2004_Helden 1,Hanworth roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,5,,,,8,0.2,m2,4,2165,m2,,Table1,,,,,,
2004_Helden 1,Mill pond roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,6,,,,28,0.2,m2,4,2050,m2,,Table1,,,,,,
2004_Helden 1,Mill pond park,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,28,,,,410,0.2,m2,4,26109,m2,,Table1,,,,,,
2004_Helden 1,Mill lane slip road,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,1,,,,17,0.2,m2,4,7118,m2,,Table1,,,,,,
2004_Helden 1,Downshire way,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,12,,,,102,0.2,m2,4,2113,m2,,Table1,,,,,,
2004_Helden 1,Twin bridges roundabout south,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,2,,,,15,0.2,m2,4,2774,m2,,Table1,,,,,,
2004_Helden 1,Twin bridges roundabout north,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,8,,,,23,0.2,m2,4,1419,m2,,Table1,,,,,,
2004_Helden 1,The point roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,1,,,,5,0.2,m2,4,356,m2,,Table1,,,,,,
2004_Helden 1,3 M roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,6,,,,31,0.2,m2,4,3963,m2,,Table1,,,,,,
2004_Helden 1,Arlington roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Trees,Species,3,,,,14,0.2,m2,4,931,m2,,Table1,,,,,,
2004_Helden 2,Baldocks roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Plants,Species,14,,,,,0.2,m2,4,401,m2,,Table1,,,,,,
2004_Helden 2,Running horse roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Plants,Species,25,,,,,0.2,m2,4,1581,m2,,Table1,,,,,,
2004_Helden 2,Eastern road roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Plants,Species,18,,,,,0.2,m2,4,1397,m2,,Table1,,,,,,
2004_Helden 2,Meteorological office roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Plants,Species,33,,,,,0.2,m2,4,5667,m2,,Table1,,,,,,
2004_Helden 2,Bracknell station roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Plants,Species,35,,,,,0.2,m2,4,2277,m2,,Table1,,,,,,
2004_Helden 2,Broad lane roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Plants,Species,14,,,,,0.2,m2,4,4132,m2,,Table1,,,,,,
2004_Helden 2,Bill hill,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Plants,Species,31,,,,,0.2,m2,4,13029,m2,,Table1,,,,,,
2004_Helden 2,Bracknell sports centre roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Plants,Species,22,,,,,0.2,m2,4,2115,m2,,Table1,,,,,,
2004_Helden 2,Hanworth roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Plants,Species,23,,,,,0.2,m2,4,2165,m2,,Table1,,,,,,
2004_Helden 2,Mill pond roundabout,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Plants,Species,21,,,,,0.2,m2,4,2050,m2,,Table1,,,,,,
2004_Helden 2,Mill pond park,Bracknell,51d23m00sN,0d43m00sW,amenity grass/turf,Plants,Species,40,,,,,0.2,m2,4,26109,m2,,Table1,,,,,,
